from_vertex_id,from_vertex_name,to_vertex_id,to_vertex_name,Start,End,Proposal,Award
1,ANE01,2,ANE03,2.25,3.5,12093799,NO
8,CHE18,1,ANE01,2.3,3.5,12104095,NO
8,CHE18,2,ANE03,2.3,3.5,12104095,NO
1,ANE01,2,ANE03,2.3,3.5,12104095,NO
8,CHE18,9,CHE25,2.35,3.5,12114752,NO
8,CHE18,14,ILPB05,2.35,3.5,12114752,NO
9,CHE25,14,ILPB05,2.35,3.5,12114752,NO
8,CHE18,35,PHA19,2.4,3.5,13051904,YES
8,CHE18,5,CE13,2.45,3.5,13051943,NO
8,CHE18,5,CE13,2.5,3.5,13052048,NO
8,CHE18,5,CE13,2.55,3.5,13124470,NO
8,CHE18,21,PAS02,2.6,3.5,13010322,NO
8,CHE18,2,ANE03,2.6,3.5,13010322,NO
21,PAS02,2,ANE03,2.6,3.5,13010322,NO
8,CHE18,21,PAS02,2.65,3.5,13041368,NO
8,CHE18,13,ILPB04,2.7,3.5,13041387,NO
8,CHE18,25,PHA14,2.75,3.5,13051863,NO
8,CHE18,25,PHA14,2.8,3.5,13051904,YES
8,CHE18,11,ILPB01,2.85,3.5,13051943,NO
8,CHE18,12,ILPB02,2.85,3.5,13051943,NO
11,ILPB01,12,ILPB02,2.85,3.5,13051943,NO
8,CHE18,12,ILPB02,2.9,3.5,13052055,NO
8,CHE18,3,BME01,2.9,3.5,13052055,NO
8,CHE18,13,ILPB04,2.9,3.5,13052055,NO
12,ILPB02,3,BME01,2.9,3.5,13052055,NO
3,BME01,13,ILPB04,2.9,3.5,13052055,NO
12,ILPB02,13,ILPB04,2.9,3.5,13052055,NO
8,CHE18,10,CHI03,2.95,3.5,13083207,NO
8,CHE18,21,PAS02,2.95,3.5,13083207,NO
8,CHE18,16,MDC16,2.95,3.5,13083207,NO
10,CHI03,21,PAS02,2.95,3.5,13083207,NO
10,CHI03,16,MDC16,2.95,3.5,13083207,NO
21,PAS02,16,MDC16,2.95,3.5,13083207,NO
8,CHE18,12,ILPB02,3,3.5,13124470,NO
8,CHE18,16,MDC16,3,3.5,13124700,NO
8,CHE18,36,MDC18,3,3.5,13124700,NO
12,ILPB02,16,MDC16,3,3.5,13124700,NO
12,ILPB02,36,MDC18,3,3.5,13124700,NO
16,MDC16,36,MDC18,3,3.5,13124700,NO
